Code,Description
1,"Deductible Amount
Start: 01/01/1995"
2,"Coinsurance Amount
Start: 01/01/1995"
3,"Co-payment Amount
Start: 01/01/1995"
4,"The procedure code is inconsistent with the modifier used. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 03/01/2020"
5,"The procedure code/type of bill is inconsistent with the place of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 03/01/2018"
6,"The procedure/revenue code is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
7,"The procedure/revenue code is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
8,"The procedure code is inconsistent with the provider type/specialty (taxonomy). Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
9,"The diagnosis is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
10,"The diagnosis is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
11,"The diagnosis is inconsistent with the procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
12,"The diagnosis is inconsistent with the provider type. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
13,"The date of death precedes the date of service.
Start: 01/01/1995"
14,"The date of birth follows the date of service.
Start: 01/01/1995"
15,The procedure code is inconsistent with the modifier used or a required modifier is missing.
16,"Claim/service lacks information or has submission/billing error(s). Usage: Do not use this code for claims attachment(s)/other documentation. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 03/01/2018"
17,"Requested information was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.)
Start: 01/01/1995 | Last Modified: 09/21/2008 | Stop: 07/01/2009"
18,"Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO)
Start: 01/01/1995 | Last Modified: 06/02/2013"
19,"This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.
Start: 01/01/1995 | Last Modified: 09/30/2007"
20,"This injury/illness is covered by the liability carrier.
Start: 01/01/1995 | Last Modified: 09/30/2007"
21,"This injury/illness is the liability of the no-fault carrier.
Start: 01/01/1995 | Last Modified: 09/30/2007"
22,"This care may be covered by another payer per coordination of benefits.
Start: 01/01/1995 | Last Modified: 09/30/2007"
23,"The impact of prior payer(s) adjudication including payments and/or adjustments. (Use only with Group Code OA)
Start: 01/01/1995 | Last Modified: 09/30/2012"
24,"Charges are covered under a capitation agreement/managed care plan.
Start: 01/01/1995 | Last Modified: 09/30/2007"
25,"Payment denied. Your Stop loss deductible has not been met.
Start: 01/01/1995 | Stop: 04/01/2008"
26,"Expenses incurred prior to coverage.
Start: 01/01/1995"
27,"Expenses incurred after coverage terminated.
Start: 01/01/1995"
28,"Coverage not in effect at the time the service was provided.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: Redundant to codes 26&27."
29,"The time limit for filing has expired.
Start: 01/01/1995"
30,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements.
Start: 01/01/1995 | Stop: 02/01/2006"
31,"Patient cannot be identified as our insured.
Start: 01/01/1995 | Last Modified: 09/30/2007"
32,"Our records indicate the patient is not an eligible dependent.
Start: 01/01/1995 | Last Modified: 03/01/2018"
33,"Insured has no dependent coverage.
Start: 01/01/1995 | Last Modified: 09/30/2007"
34,"Insured has no coverage for newborns.
Start: 01/01/1995 | Last Modified: 09/30/2007"
35,"Lifetime benefit maximum has been reached.
Start: 01/01/1995 | Last Modified: 10/31/2002"
36,"Balance does not exceed co-payment amount.
Start: 01/01/1995 | Stop: 10/16/2003"
37,"Balance does not exceed deductible.
Start: 01/01/1995 | Stop: 10/16/2003"
38,"Services not provided or authorized by designated (network/primary care) providers.
Start: 01/01/1995 | Last Modified: 06/02/2013 | Stop: 01/01/2013
Notes: CARC codes 242 and 243 are replacements for this deactivated code"
39,"Services denied at the time authorization/pre-certification was requested.
Start: 01/01/1995"
40,"Charges do not meet qualifications for emergent/urgent care. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
41,"Discount agreed to in Preferred Provider contract.
Start: 01/01/1995 | Stop: 10/16/2003"
42,"Charges exceed our fee schedule or maximum allowable amount. (Use CARC 45)
Start: 01/01/1995 | Last Modified: 10/31/2006 | Stop: 06/01/2007"
43,"Gramm-Rudman reduction.
Start: 01/01/1995 | Stop: 07/01/2006"
44,"Prompt-pay discount.
Start: 01/01/1995"
45,"Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. Usage: This adjustment amount cannot equal the total service or claim charge amount; and must not duplicate provider adjustment amounts (payments and contractual reductions) that have resulted from prior payer(s) adjudication. (Use only with Group Codes PR or CO depending upon liability)
Start: 01/01/1995 | Last Modified: 07/01/2017"
46,"This (these) service(s) is (are) not covered.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: Use code 96."
47,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid.
Start: 01/01/1995 | Stop: 02/01/2006"
48,"This (these) procedure(s) is (are) not covered.
Start: 01/01/1995 | Stop: 10/16/2003
Notes: Use code 96."
49,"This is a non-covered service because it is a routine/preventive exam or a diagnostic/screening procedure done in conjunction with a routine/preventive exam. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.
Start: 01/01/1995 | Last Modified: 07/01/2017"
